Black Body Radiation Experiment Thu, Mar 21, 2024 11:48 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.05774
0.00000	0.05806
0.00000	0.05275
0.00000	0.05790
0.00000	0.05725
0.00000	0.05774
0.00000	0.05516
0.00000	0.05371
0.00000	0.05774
0.00000	0.05919
0.00000	0.05661
0.00000	0.05983
0.00000	0.05774
0.00000	0.05693
0.00000	0.05902
0.00000	0.05307
0.00000	0.05919
0.00000	0.05919
0.00000	0.05468
0.00000	0.05597
0.01015	0.05935
0.01015	0.05935
0.03046	0.05709
0.07107	0.05758
0.36548	0.05371
0.61929	0.05693
0.74112	0.05693
0.98477	0.05532
1.12690	0.06096
1.26904	0.05629
1.83756	0.05532
2.17259	0.05613
2.33503	0.05259
2.83249	0.05420
3.15736	0.05822
3.45178	0.05822
4.09137	0.05886
4.40609	0.05725
4.67005	0.05613
5.27919	0.05645
5.73604	0.05999
5.92893	0.05790
6.63959	0.05452
7.14721	0.06096
7.98985	0.05661
8.56853	0.06047
8.87310	0.06208
9.56345	0.06482
10.05076	0.07045
10.49746	0.07931
11.23858	0.10393
11.56345	0.13162
12.17259	0.21210
12.49746	0.27761
13.21827	0.44114
13.55330	0.51760
14.30457	0.62672
14.65990	0.62898
14.95431	0.60661
15.64467	0.49232
16.00000	0.41313
16.18274	0.38094
16.76142	0.28340
17.11675	0.23254
17.29949	0.20936
17.81726	0.15850
18.23350	0.13628
18.42640	0.12405
19.11675	0.10297
19.54315	0.08768
19.77665	0.08590
20.34518	0.07480
20.64975	0.07271
20.84264	0.07255
21.42132	0.06868
21.88832	0.06240
22.08122	0.06418
22.61929	0.06160
22.95431	0.06369
23.11675	0.06031
23.62437	0.05935
23.97970	0.05758
24.60914	0.05709
25.04569	0.05661
25.68528	0.05693
26.14213	0.05693
26.86294	0.06063
27.21827	0.05919
27.47208	0.05806
27.94924	0.05500
28.65990	0.05951
29.13706	0.05677
29.90863	0.05935
30.38579	0.05741
