Black Body Radiation Experiment Thu, Mar 21, 2024 12:04 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.07222
0.00000	0.07045
0.00000	0.07464
0.00000	0.07303
0.01015	0.07496
0.01015	0.07061
0.01015	0.07528
0.02030	0.07415
0.04061	0.07383
0.06091	0.07255
0.07107	0.07448
0.19289	0.07448
0.30457	0.06997
0.38579	0.07367
0.64975	0.07689
0.80203	0.07238
0.87310	0.07464
1.17766	0.07528
1.38071	0.07190
1.49239	0.07480
1.79695	0.07432
2.05076	0.07786
2.52792	0.07802
2.74112	0.07367
2.95431	0.07753
3.38071	0.07335
3.62437	0.07383
3.72589	0.07448
4.12183	0.07657
4.37563	0.07576
4.51777	0.07721
4.79188	0.07351
4.98477	0.07947
5.04569	0.07512
5.41117	0.07705
5.62437	0.08075
5.70558	0.08301
6.02030	0.08140
6.22335	0.08381
6.40609	0.08301
6.84264	0.09057
7.07614	0.08768
7.20812	0.08993
7.78680	0.10055
8.15228	0.10506
8.74112	0.13628
8.94416	0.15383
9.38071	0.19407
9.56345	0.22030
9.89848	0.29338
10.09137	0.33877
10.49746	0.45595
10.69036	0.51550
11.06599	0.68515
11.27919	0.77593
11.48223	0.86398
11.87817	1.02574
12.04061	1.09125
12.36548	1.18268
12.50761	1.19716
12.63959	1.19974
12.98477	1.17350
13.15736	1.13954
13.43147	1.05681
13.60406	0.98856
13.88832	0.86446
14.05076	0.77835
14.32487	0.64862
14.51777	0.56926
14.78173	0.46190
14.94416	0.39945
15.22843	0.31543
15.39086	0.27374
15.69543	0.20856
15.91878	0.18666
16.09137	0.16799
16.55838	0.14208
16.90355	0.12518
17.42132	0.11246
17.68528	0.10506
18.10152	0.09395
18.34518	0.08784
18.48731	0.08832
18.94416	0.08269
19.21827	0.08252
19.65482	0.07770
19.93909	0.08172
20.11168	0.07593
20.42640	0.07415
20.65990	0.07721
21.03553	0.07641
21.28934	0.07898
21.70558	0.07593
21.94924	0.07576
22.05076	0.07609
22.36548	0.07238
22.56853	0.07866
22.69036	0.07560
22.95431	0.07094
23.13706	0.07126
23.22843	0.07496
23.48223	0.07657
23.66497	0.07496
23.74619	0.07770
23.95939	0.07351
24.11168	0.07464
24.17259	0.07383
24.38579	0.07174
24.51777	0.07705
24.59898	0.07303
24.81218	0.07464
24.96447	0.07271
25.05584	0.07126
25.30964	0.07802
25.49239	0.07850
25.77665	0.07432
25.95939	0.07705
26.23350	0.07303
26.42640	0.07721
26.49746	0.07560
26.75127	0.07705
26.94416	0.07480
27.02538	0.07625
27.27919	0.07576
27.45178	0.07142
27.52284	0.07464
27.74619	0.07609
27.91878	0.07464
28.02030	0.07770
28.28426	0.07415
28.44670	0.07222
28.54822	0.07271
28.72081	0.07560
28.89340	0.07399
29.00508	0.07496
29.37056	0.07721
29.64467	0.07544
29.79695	0.07158
30.18274	0.07367
