Black Body Radiation Experiment Thu, Mar 21, 2024 10:41 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-1.57085
0.00000	-1.52031
0.00000	-1.57182
0.00000	-1.59291
0.00000	-1.59097
0.00000	-1.51468
0.00000	-1.55588
0.00000	-1.58840
0.00000	-1.51371
0.00000	-1.51838
0.00000	-1.53448
0.00000	-1.53882
0.00000	-1.49762
0.00000	-1.49150
0.00000	-1.51081
0.00000	-1.51661
0.00000	-1.49102
0.01015	-1.50341
0.01015	-1.50389
0.02030	-1.56039
0.04061	-1.55814
0.13198	-1.53786
0.24365	-1.52868
0.29442	-1.50566
0.55838	-1.50631
0.73096	-1.48265
0.82234	-1.56103
1.22843	-1.45931
1.53299	-1.49005
1.70558	-1.46639
2.28426	-1.55846
2.58883	-1.46220
2.76142	-1.50212
3.11675	-1.54172
3.43147	-1.49391
3.57360	-1.51597
4.11168	-1.52562
4.51777	-1.49086
4.76142	-1.53029
5.24873	-1.51065
5.64467	-1.54059
5.76650	-1.43903
6.35533	-1.42728
6.76142	-1.46945
7.12690	-1.52256
7.88832	-1.48619
8.33503	-1.49633
8.54822	-1.53866
9.11675	-1.52079
9.50254	-1.43870
9.70558	-1.49230
10.31472	-1.42261
10.73096	-1.52482
10.96447	-1.51259
11.68528	-1.48925
12.08122	-1.43532
12.22335	-1.51114
12.68020	-1.45979
13.01523	-1.49665
13.13706	-1.44337
13.65482	-1.45915
14.04061	-1.44450
14.22335	-1.48603
14.74112	-1.49617
15.11675	-1.43806
15.26904	-1.51049
15.77665	-1.47653
16.05076	-1.43661
16.13198	-1.46832
16.41624	-1.46864
16.74112	-1.45062
16.90355	-1.44788
17.51269	-1.42856
18.03046	-1.47878
18.25381	-1.40007
18.89340	-1.39637
19.39086	-1.37512
19.79695	-1.25070
20.56853	-0.95888
20.94416	-0.58352
21.28934	-0.03111
21.87817	1.13036
22.20305	1.88961
22.46701	2.55679
22.95431	3.59033
23.24873	3.89503
23.50254	3.90517
24.04061	3.33407
24.29442	2.87163
24.45685	2.68556
24.87310	1.77162
25.18782	1.24786
25.30964	1.04828
25.77665	0.34811
26.14213	0.00333
26.32487	-0.23263
26.95431	-0.60123
27.38071	-0.80468
27.61421	-0.83752
28.27411	-1.06656
28.71066	-1.11372
28.90355	-1.21771
29.45178	-1.24941
29.87817	-1.33633
30.13198	-1.30559
30.80203	-1.36096
31.29949	-1.35146
31.51269	-1.40603
32.08122	-1.43130
32.47716	-1.41086
32.63959	-1.45931
33.08629	-1.49037
33.37056	-1.41601
33.53299	-1.49037
34.02030	-1.50872
34.36548	-1.43790
34.57868	-1.49456
35.02538	-1.49955
35.35025	-1.42695
35.54315	-1.46301
