aMotion Through Fluids Experiment Thu, Feb 15, 2024 10:37 AM
Time(sec)	Position(mm)
0.080	10.866
0.191	10.226
0.302	9.583
0.413	9.154
0.524	8.725
0.635	8.296
0.746	7.867
0.857	7.437
0.968	7.007
1.079	6.577
1.190	6.147
1.301	5.717
1.412	5.286
1.523	5.071
1.634	4.640
1.745	4.424
1.856	3.993
1.967	3.777
2.078	3.561
2.189	3.345
2.300	3.130
2.411	2.914
2.522	2.914
2.633	27.830
2.744	2.698
2.855	28.668
2.966	28.878
3.077	29.298
3.188	29.717
3.299	30.136
3.410	30.556
3.521	30.765
3.632	31.184
3.743	31.603
3.854	32.022
3.965	32.231
4.076	32.649
4.187	33.067
4.298	33.276
4.409	33.694
4.520	34.112
4.631	34.321
4.742	34.738
4.853	35.156
4.964	35.364
5.075	35.782
5.186	36.199
5.297	36.407
5.408	36.824
5.519	37.240
5.630	37.448
5.741	37.865
5.852	38.073
5.963	38.489
6.074	38.697
6.185	39.113
6.296	39.321
6.407	39.736
6.518	40.152
6.629	40.359
6.740	40.775
6.851	40.982
6.962	41.397
7.073	41.604
7.184	42.019
7.295	42.434
7.406	42.641
7.517	43.055
7.628	43.263
7.739	43.677
7.850	43.884
7.961	44.298
8.072	44.505
8.183	44.918
8.294	45.125
8.405	45.539
8.516	45.952
8.627	46.159
8.738	46.572
8.849	46.778
8.960	47.191
9.071	47.398
9.182	47.810
9.293	48.016
9.404	48.429
9.515	48.635
9.626	49.047
9.737	49.253
9.848	49.666
9.959	50.077
10.070	50.283
10.181	50.695
10.292	50.901
10.403	51.312
10.514	51.518
10.625	51.929
10.736	52.135
10.847	52.546
10.958	52.752
11.069	53.162
11.180	53.573
11.291	53.778
11.402	54.189
11.513	54.394
11.624	54.805
11.735	55.010
11.846	55.420
11.957	55.625
12.068	56.035
12.179	56.241
12.290	56.650
12.401	56.856
12.512	57.264
12.623	57.675
12.734	57.878
12.845	58.289
12.956	58.492
13.067	58.901
13.178	59.105
13.289	59.514
13.400	59.719
13.511	60.127
13.622	60.333
13.733	60.740
13.844	61.150
13.955	61.353
14.066	61.763
14.177	61.965
14.288	62.375
14.399	62.577
14.510	62.986
14.621	63.190
14.732	63.596
14.843	63.802
14.954	64.209
15.065	64.413
15.176	64.820
15.287	65.227
15.398	65.431
15.509	65.838
15.620	66.041
15.731	66.448
15.842	66.652
15.953	67.058
16.064	67.465
16.175	67.668
16.286	67.871
16.397	68.277
16.508	68.684
16.619	68.887
16.730	69.293
16.841	69.496
16.952	69.902
17.063	70.104
17.174	70.510
17.285	70.713
17.396	71.119
17.507	71.524
17.618	71.727
17.729	72.132
17.840	72.335
17.951	72.740
18.062	72.942
18.173	73.347
18.284	73.550
18.395	73.954
18.506	74.359
18.617	74.561
18.728	74.966
18.839	75.168
18.950	75.572
19.061	75.775
19.172	76.179
19.283	76.381
19.394	76.785
19.505	76.987
19.616	77.391
19.727	77.795
19.838	77.997
19.949	78.400
20.060	78.602
20.171	79.006
20.282	79.207
20.393	79.611
20.504	79.812
20.615	80.216
20.726	80.417
20.837	80.820
20.948	81.223
21.059	81.425
21.170	81.827
21.281	82.029
21.392	82.432
21.503	82.633
21.614	83.035
21.725	83.237
21.836	83.639
21.947	83.840
22.058	84.243
22.169	84.645
22.280	84.846
22.391	85.248
22.502	85.449
22.613	85.851
22.724	86.052
22.835	86.454
22.946	86.654
23.057	87.056
23.168	87.257
23.279	87.658
23.390	87.859
23.501	88.261
23.612	88.662
23.723	88.862
23.834	89.264
23.945	89.665
24.056	89.865
24.167	90.266
24.278	90.467
24.389	90.868
24.500	91.068
24.611	91.469
24.722	91.669
24.833	92.070
24.944	92.270
25.055	92.670
25.166	92.871
25.277	93.271
25.388	93.671
25.499	93.871
25.610	94.271
25.721	94.472
25.832	94.872
25.943	95.072
26.054	95.472
26.165	95.671
26.276	96.071
26.387	96.471
26.498	96.671
26.609	97.070
26.720	97.270
26.831	97.670
26.942	97.869
27.053	98.269
27.164	98.668
27.275	98.868
27.386	99.267
27.497	99.467
27.608	99.866
27.719	100.065
27.830	100.464
27.941	100.664
28.052	101.063
28.163	101.262
28.274	101.661
28.385	102.059
28.496	102.259
28.607	102.657
28.718	102.857
28.829	103.255
28.940	103.454
29.051	103.853
29.162	104.052
29.273	104.450
29.384	104.849
29.495	105.048
29.606	105.446
29.717	105.645
29.828	106.043
29.939	106.242
30.050	106.640
30.161	107.038
30.272	107.237
30.383	107.634
30.494	107.833
30.605	108.231
30.716	108.430
30.827	108.827
30.938	109.026
31.049	109.424
31.160	109.622
31.271	110.020
31.382	110.218
31.493	110.616
31.604	111.013
31.715	111.212
31.826	111.609
31.937	111.807
32.048	112.204
32.159	112.601
32.270	112.801
32.381	113.197
32.492	113.395
32.603	113.792
32.714	113.991
32.825	114.389
32.936	114.586
33.047	114.984
33.158	115.379
33.269	115.579
33.380	115.974
33.491	116.172
33.602	116.569
33.713	116.767
33.824	117.163
33.935	117.361
34.046	117.758
34.157	118.154
34.268	118.352
34.379	118.748
34.490	118.946
34.601	119.344
34.712	119.541
34.823	119.938
34.934	120.333
35.045	120.532
35.156	120.927
35.267	121.126
35.378	121.520
35.489	121.718
35.600	122.114
35.711	122.312
35.822	122.709
35.933	123.103
36.044	123.301
36.155	123.697
36.266	123.894
36.377	124.291
36.488	124.687
36.599	124.885
36.710	125.279
36.821	125.478
36.932	125.872
37.043	126.071
37.154	126.465
37.265	126.861
37.376	127.057
37.487	127.454
37.598	127.652
37.709	128.047
37.820	128.244
37.931	128.638
38.042	128.837
38.153	129.232
38.264	129.428
38.375	129.824
38.486	130.218
38.597	130.417
38.708	130.810
38.819	131.009
38.930	131.402
39.041	131.798
39.152	131.996
39.263	132.390
39.374	132.588
39.485	132.982
39.596	133.180
39.707	133.573
39.818	133.772
39.929	134.166
40.040	134.561
40.151	134.758
40.262	135.151
40.373	135.350
40.484	135.743
40.595	135.941
40.706	136.334
40.817	136.730
40.928	136.927
41.039	137.321
41.150	137.519
41.261	137.913
41.372	138.110
41.483	138.503
41.594	138.701
41.705	139.095
41.816	139.489
41.927	139.686
42.038	140.079
42.149	140.278
42.260	140.670
