Motion Through Fluids Experiment Thu, Feb 15, 2024 10:41 AM
Time(sec)	Position(mm)
0.033	2.493
0.095	2.493
0.157	2.495
0.219	2.277
0.281	2.273
0.343	23.629
0.405	23.840
0.467	24.262
0.529	24.683
0.591	25.105
0.653	25.526
0.715	25.947
0.777	26.158
0.839	26.579
0.901	26.999
0.963	27.420
1.025	27.630
1.087	28.050
1.149	28.470
1.211	28.890
1.273	29.100
1.335	29.520
1.397	29.939
1.459	30.149
1.521	30.568
1.583	30.987
1.645	31.197
1.707	31.615
1.769	32.034
1.831	32.243
1.893	32.661
1.955	33.080
2.017	33.289
2.079	33.707
2.141	33.916
2.203	34.333
2.265	34.542
2.327	34.959
2.389	35.377
2.451	35.585
2.513	36.002
2.575	36.211
2.637	36.628
2.699	36.836
2.761	37.252
2.823	37.669
2.885	37.877
2.947	38.293
3.009	38.501
3.071	38.709
3.133	39.125
3.195	39.541
3.257	39.748
3.319	40.164
3.381	40.371
3.443	40.787
3.505	40.994
3.567	41.409
3.629	41.617
3.691	42.031
3.753	42.239
3.815	42.653
3.877	42.860
3.939	43.275
4.001	43.482
4.063	43.896
4.125	44.103
4.187	44.517
4.249	44.723
4.311	45.137
4.373	45.344
4.435	45.757
4.497	45.964
4.559	46.377
4.621	46.584
4.683	46.997
4.745	47.203
4.807	47.616
4.869	47.822
4.931	48.028
4.993	48.441
5.055	48.855
5.117	49.059
5.179	49.267
5.241	49.677
5.303	50.091
5.365	50.297
5.427	50.503
5.489	50.913
5.551	51.118
5.613	51.531
5.675	51.737
5.737	52.148
5.799	52.352
5.861	52.765
5.923	52.970
5.985	53.381
6.047	53.585
6.109	53.997
6.171	54.201
6.233	54.613
6.295	54.816
6.357	55.228
6.419	55.432
6.481	55.843
6.543	56.048
6.605	56.253
6.667	56.663
6.729	57.072
6.791	57.277
6.853	57.482
6.915	57.890
6.977	58.300
7.039	58.505
7.101	58.710
7.163	59.119
7.225	59.323
7.287	59.732
7.349	60.140
7.411	60.345
7.473	60.549
7.535	60.957
7.597	61.162
7.659	61.570
7.721	61.774
7.783	62.182
7.845	62.386
7.907	62.794
7.969	62.998
8.031	63.405
8.093	63.609
8.155	64.017
8.217	64.220
8.279	64.628
8.341	64.831
8.403	65.239
8.465	65.442
8.527	65.849
8.589	66.053
8.651	66.256
8.713	66.663
8.775	67.069
8.837	67.273
8.899	67.476
8.961	67.882
9.023	68.289
9.085	68.492
9.147	68.695
9.209	69.101
9.271	69.304
9.333	69.710
9.395	69.913
9.457	70.318
9.519	70.521
9.581	70.927
9.643	71.130
9.705	71.535
9.767	71.738
9.829	72.143
9.891	72.346
9.953	72.548
10.015	72.953
10.077	73.358
10.139	73.561
10.201	73.763
10.263	74.168
10.325	74.370
10.387	74.775
10.449	75.179
10.511	75.381
10.573	75.583
10.635	75.988
10.697	76.190
10.759	76.594
10.821	76.796
10.883	77.200
10.945	77.402
11.007	77.806
11.069	78.007
11.131	78.411
11.193	78.613
11.255	79.016
11.317	79.218
11.379	79.621
11.441	79.823
11.503	80.226
11.565	80.428
11.627	80.629
11.689	81.032
11.751	81.234
11.813	81.637
11.875	81.838
11.937	82.241
11.999	82.442
12.061	82.845
12.123	83.046
12.185	83.449
12.247	83.650
12.309	84.052
12.371	84.253
12.433	84.655
12.495	84.857
12.557	85.259
12.619	85.460
12.681	85.862
12.743	86.062
12.805	86.263
12.867	86.665
12.929	87.067
