Motion Through Fluids Experiment Thu, Feb 15, 2024 10:52 AM
Time(sec)	Position(mm)
0.028	30.129
0.078	31.179
0.128	1.376
0.178	33.689
0.228	34.731
0.278	35.774
0.328	36.818
0.378	38.067
0.428	39.107
0.478	40.146
0.528	41.184
0.578	42.221
0.628	43.255
0.678	44.292
0.728	45.325
0.778	46.358
0.828	47.390
0.878	48.422
0.928	49.246
0.978	50.278
1.028	51.305
1.078	52.335
1.128	53.363
1.178	54.182
1.228	55.208
1.278	56.233
1.328	57.257
1.378	58.282
1.428	59.099
1.478	59.714
1.528	60.733
1.578	61.754
1.628	62.774
1.678	63.795
1.728	64.608
1.778	65.626
1.828	66.643
1.878	67.456
1.928	68.472
1.978	69.487
2.028	70.502
2.078	71.313
2.128	72.326
2.178	73.339
2.228	74.149
2.278	75.160
2.328	76.171
2.378	77.181
2.428	77.989
2.478	78.998
2.528	80.006
2.578	80.812
2.628	81.820
2.678	82.826
2.728	83.631
2.778	84.637
2.828	85.642
2.878	86.447
2.928	87.450
2.978	88.453
3.028	89.456
3.078	90.259
3.128	91.261
3.178	92.264
3.228	93.063
3.278	94.065
3.328	95.066
3.378	95.865
3.428	96.865
3.478	97.863
3.528	98.862
3.578	99.659
3.628	100.658
3.678	101.655
3.728	102.452
3.778	103.449
3.828	104.444
3.878	105.241
3.928	106.236
3.978	107.231
4.028	108.026
4.078	109.020
4.128	110.014
4.178	110.809
4.228	111.802
4.278	112.794
4.328	113.588
4.378	114.580
4.428	115.572
4.478	116.365
4.528	117.356
4.578	118.347
4.628	119.139
4.678	119.733
4.728	120.723
4.778	121.713
4.828	122.702
4.878	123.493
4.928	124.482
4.978	125.273
5.028	126.261
5.078	127.250
5.128	128.237
5.178	129.028
5.228	130.015
5.278	131.002
5.328	131.792
5.378	132.778
5.428	133.568
5.478	134.554
5.528	135.540
5.578	136.329
5.628	137.315
5.678	138.300
5.728	139.089
5.778	140.074
5.828	141.059
5.878	141.847
5.928	142.832
5.978	143.817
6.028	144.604
6.078	145.589
6.128	146.573
6.178	147.360
6.228	148.344
6.278	149.328
6.328	150.115
6.378	151.099
6.428	151.886
6.478	152.870
6.528	153.853
6.578	154.640
6.628	155.623
6.678	156.607
6.728	157.393
6.778	158.376
6.828	159.359
6.878	160.146
6.928	161.129
6.978	161.915
7.028	162.898
7.078	163.881
7.128	164.668
7.178	165.650
7.228	166.633
7.278	167.420
7.328	168.403
7.378	169.387
7.428	170.172
7.478	171.155
7.528	171.941
7.578	172.926
7.628	173.909
7.678	174.694
7.728	175.677
7.778	176.465
7.828	177.447
7.878	178.430
7.928	179.217
7.978	180.202
8.028	180.792
8.078	181.971
8.128	182.561
8.178	183.545
8.228	184.333
8.278	185.317
8.328	186.302
8.378	187.089
8.428	188.072
8.478	188.861
8.528	189.846
8.578	190.830
8.628	191.618
8.678	192.602
8.728	193.392
8.778	194.377
8.828	195.361
8.878	196.151
8.928	197.136
8.978	197.926
9.028	198.912
9.078	199.701
9.128	200.688
9.178	201.674
9.228	202.464
9.278	203.452
9.328	204.242
9.378	205.229
9.428	206.019
9.478	207.008
9.528	207.996
9.578	208.787
9.628	209.775
9.678	210.567
9.728	211.557
9.778	212.349
9.828	213.338
9.878	214.131
9.928	215.121
9.978	216.112
10.028	216.905
10.078	217.896
10.128	218.690
10.178	219.682
10.228	220.476
10.278	221.468
10.328	222.263
10.378	223.256
10.428	224.051
10.478	225.045
10.528	225.840
10.578	226.835
10.628	227.631
10.678	228.626
10.728	229.423
10.778	230.419
10.828	231.216
10.878	232.213
10.928	233.011
10.978	234.009
11.028	234.807
11.078	235.806
11.128	236.605
11.178	237.605
11.228	238.404
11.278	239.004
11.328	240.005
11.378	241.206
11.428	241.807
11.478	242.609
11.528	243.611
11.578	244.413
11.628	245.417
11.678	246.220
11.728	247.224
11.778	248.028
11.828	249.033
11.878	249.837
11.928	250.642
11.978	251.649
12.028	252.455
12.078	253.463
12.128	254.269
12.178	255.278
12.228	256.086
12.278	257.095
12.328	257.904
12.378	258.713
12.428	259.724
12.478	260.534
12.528	261.547
12.578	262.357
12.628	263.371
12.678	264.183
12.728	264.995
12.778	266.011
12.828	266.824
12.878	267.841
12.928	268.655
12.978	269.470
13.028	270.488
13.078	271.304
13.128	272.325
13.178	273.141
13.228	273.958
13.278	274.980
13.328	275.798
13.378	276.618
13.428	277.437
13.478	278.256
13.528	279.077
13.578	280.103
13.628	280.719
13.678	281.335
13.728	282.363
13.778	283.186
13.828	283.803
13.878	284.834
