Motion Through Fluids Experiment Thu, Feb 15, 2024 11:24 AM
Time(sec)	Position(mm)
0.023	1.356
0.073	2.684
0.123	2.902
0.173	3.301
0.223	3.515
0.273	3.111
0.323	3.721
0.373	2.860
0.423	1.823
0.473	3.716
0.523	5.446
0.573	7.812
0.623	8.038
0.673	38.067
0.723	43.255
0.773	48.418
0.823	51.711
0.873	57.044
0.923	62.150
0.973	67.439
1.023	72.709
1.073	77.961
1.123	83.398
1.173	88.818
1.223	94.223
1.273	99.614
1.323	104.993
1.373	110.557
1.423	116.112
1.473	121.457
1.523	126.991
1.573	132.716
1.623	138.237
1.673	143.754
1.723	149.266
1.773	154.775
1.823	160.478
1.873	165.982
1.923	171.487
1.973	177.192
2.023	182.702
2.073	188.216
2.123	193.931
2.173	199.454
2.223	205.181
2.273	210.719
2.323	216.464
2.373	222.221
2.423	227.989
2.473	233.771
2.523	239.367
2.573	245.180
2.623	250.810
2.673	256.457
2.723	262.125
2.773	267.814
2.823	273.526
2.873	279.056
2.923	284.817
2.973	290.604
3.023	0.000
3.073	0.000
3.123	0.000
3.173	0.000
3.223	0.000
3.273	0.000
3.323	0.000
3.373	0.000
3.423	0.000
3.473	0.000
3.523	0.000
3.573	0.000
3.623	0.000
3.673	0.000
3.723	0.000
