Motion Through Fluids Experiment Thu, Feb 15, 2024 11:29 AM
Time(sec)	Position(mm)
0.032	4.136
0.082	3.915
0.132	3.910
0.182	3.905
0.232	3.897
0.282	2.169
0.332	1.739
0.382	7.992
0.432	23.770
0.482	29.031
0.532	35.103
0.582	41.554
0.632	48.384
0.682	55.177
0.732	62.143
0.782	68.467
0.832	74.765
0.882	80.632
0.932	86.880
0.982	93.504
1.032	100.103
1.082	106.880
1.132	113.836
1.182	120.578
1.232	127.504
1.282	134.223
1.332	141.131
1.382	147.835
1.432	154.535
1.482	161.232
1.532	167.926
1.582	174.818
1.632	181.711
1.682	188.805
1.732	196.102
1.782	203.405
1.832	210.721
1.882	215.470
1.932	222.808
1.982	230.162
2.032	237.338
2.082	244.536
2.132	251.760
2.182	259.016
2.232	266.305
2.282	273.633
2.332	281.206
2.382	288.619
